CASEID,POINT_X,POINT_Y,YEAR_,LOCATION,CHPTYPE,DAYWEEK,CRASHSEV,VIOLCAT,KILLED,INJURED,WEATHER1,PEDCOL,BICCOL,MCCOL,TRUCKCOL,ETOH,TIMECAT,MONTH_,CRASHTYP,INVOLVE,PED,PRIMARYRD,SECONDRD,DISTANCE,DIRECT,INTERSECT_,PROCDATE,JURIS,DATE_,TIME_,BADGE,JURIDIST,SHIFT,POP,SPECIAL,BEATTYPE,LAPDDIV,BEATCLAS,BEATNUMB,WEATHER2,STATEHW,CALTRANC,CALTRAND,STROUTE,ROUTESUF,POSTPRE,POSTMILE,LOCATYPE,RAMP,SIDEHW,TOWAWAY,PARTIES,PCF,VIOLCODE,VIOL,VIOLSUB,HITRUN,ROADSURF,RDCOND1,RDCOND2,LIGHTING,RIGHTWAY,CHPRDTYP,NOTPRIV,STFAULT,CHPFAULT,SEVINJ,OTHERINJ,COP,PEDKILL,PEDINJ,BICKILL,BICINJ,MCKILL,MCINJURE,RAMP1,RAMP2,CITY,COUNTY,STATE,X_CHP,Y_CHP
6051715,0,0,2013,109,0,4,4,5,0,1,B,,,,,,1200,4,B,C,A,GRIZZLY PEAK BL,CENTENNIAL DR,1320,E,N,2/25/14,109,4/25/13,1010,8887,1,5,7,0,0,,0,13X,-,N,,0,0,,,0,,,,Y,2,A,-,21460,A,N,A,H,-,A,D,0,Y,A,1,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6051711,-122.2087832,37.79850388,2013,109,0,6,4,9,0,1,A,,,,,,1800,4,D,C,A,MACARTHUR BL,COOLIDGE AV,0,,Y,2/25/14,109,4/27/13,1709,8944,1,5,7,0,0,,0,22Y,-,N,,0,0,,,0,,,,N,2,A,-,21801,A,N,A,H,-,A,A,0,Y,A,7,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6051703,-122.2630231,37.8093338,2013,109,0,5,4,0,0,1,A,,,,,,1800,4,D,C,A,HARRISON ST,21ST ST,0,,Y,3/1/14,109,4/19/13,1725,9125,1,5,7,0,0,,0,04X,-,N,,0,0,,,0,,,,N,2,D,-,0,,N,A,H,-,A,A,0,Y,-,-,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6051699,-122.2643231,37.81121445,2013,109,0,6,3,9,0,1,A,,,Y,,,1500,4,B,C,A,GRAND AV,VALDEZ ST,0,,Y,3/1/14,109,4/20/13,1219,9048,1,5,7,0,0,,0,04X,-,N,,0,0,,,0,,,,N,2,A,-,21801,A,N,A,H,-,A,A,0,Y,A,8,0,1,0,0,0,0,0,0,1,-,-,OAKLAND,ALAMEDA,CA,0,0
6051695,-122.1648931,37.76268387,2013,109,0,7,4,9,0,4,A,,,,,,1500,4,D,C,A,MACARTHUR BL,82ND AV,0,,Y,3/1/14,109,4/14/13,1456,8459,2,5,7,0,0,,0,35X,-,N,,0,0,,,0,,,,N,2,A,-,21801,A,N,A,H,-,A,A,0,Y,A,1,0,0,4,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6051691,-122.1738784,37.76320648,2013,109,0,4,3,17,0,1,B,,Y,,,,2100,4,G,G,A,BANCROFT AV,78TH AV,75,E,N,2/25/14,109,4/4/13,1820,9121,2,5,7,0,0,,0,30X,-,N,,0,0,,,0,,,,N,2,A,-,21209,A,M,A,H,-,A,D,0,Y,A,7,0,1,0,0,0,0,1,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6051687,-122.2244415,37.79247665,2013,109,0,4,4,3,0,1,A,,,,,,1800,4,B,E,A,E 27TH ST,25TH AV,120,W,N,2/25/14,109,4/11/13,1749,8557,1,5,7,0,0,,0,21X,-,N,,0,0,,,0,,,,N,3,A,-,22350,,M,A,H,-,A,D,0,Y,A,1,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6051683,-122.2346631,37.80346298,2013,109,0,2,3,10,0,1,A,Y,,,,,1500,4,G,B,B,PARK BL,E 34TH AV,0,,Y,2/25/14,109,4/9/13,1430,9023,1,5,7,0,0,,0,17Y,-,N,,0,0,,,0,,,,N,2,A,-,21950,A,F,A,H,-,A,D,0,Y,A,1,0,1,0,0,1,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6051418,-122.1789781,37.75246811,2013,109,0,5,3,1,0,2,B,,,,,Y,2100,3,B,C,A,85TH AV,A ST,5,S,N,4/4/14,109,3/29/13,2010,,,5,7,0,0,,0,,-,N,,0,0,,,0,,,,Y,2,A,-,23152,A,N,A,H,-,E,A,0,Y,A,1,0,1,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6051056,-122.2759231,37.81332397,2013,109,0,2,4,9,0,1,A,,Y,,,,1500,3,H,G,A,W GRAND AV,WEST ST,0,,Y,2/11/14,109,3/12/13,1211,7910,1,5,7,0,0,,0,05X,-,N,,0,0,,,0,,,,N,2,A,-,21802,A,N,A,H,-,A,D,0,Y,L,4,0,0,1,0,0,0,1,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
